AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
42,12.0,1.0,40.0,30000.0
11,,,,
23,10.0,1.0,18.0,5200.0
43,10.0,1.0,40.0,19200.0
15,,,,8400.0
22,,,,0.0
48,5.0,1.0,40.0,80000.0
16,,,,17000.0
41,40.0,1.0,40.0,50000.0
42,30.0,1.0,40.0,88550.0
93,,,,15800.0
65,,,,0.0
81,,,,11000.0
55,,,,0.0
65,,,,34500.0
17,15.0,1.0,10.0,12000.0
10,,,,
38,,,50.0,9000.0
57,,,,15400.0
73,,,,35050.0
50,,,30.0,8800.0
30,,,,1900.0
19,5.0,1.0,48.0,19000.0
19,,,,0.0
71,,,,20100.0
64,,,,15600.0
12,,,,
81,,,,23700.0
71,,,,7720.0
81,,,,7200.0
29,,,40.0,-7500.0
1,,,,
4,,,,
64,,,,730.0
11,,,,
39,,,50.0,50000.0
37,15.0,1.0,48.0,56000.0
0,,,,
35,10.0,1.0,40.0,27500.0
32,20.0,1.0,40.0,35000.0
56,,,,9300.0
67,,,4.0,22600.0
63,20.0,1.0,44.0,52000.0
73,,,,4300.0
71,,,,0.0
25,,,39.0,24300.0
14,,,,
26,,,,34800.0
26,45.0,1.0,60.0,60000.0
46,75.0,2.0,40.0,26000.0
65,,,,10800.0
75,,,,10500.0
60,20.0,1.0,40.0,45000.0
58,,,50.0,30000.0
21,20.0,1.0,15.0,1200.0
83,,,,156800.0
66,38.0,1.0,55.0,39600.0
65,10.0,1.0,18.0,34400.0
66,,,,64500.0
29,,,,6000.0
30,30.0,1.0,70.0,6150.0
64,,,,36200.0
30,154.0,1.0,20.0,40000.0
8,,,,
8,,,,
18,18.0,1.0,24.0,600.0
69,,,,36000.0
47,60.0,1.0,65.0,86000.0
41,45.0,4.0,40.0,125000.0
36,,,,0.0
13,,,,
56,20.0,1.0,15.0,25000.0
56,,,,3100.0
8,,,,
71,,,,124130.0
69,,,,13700.0
66,,,,19000.0
20,30.0,1.0,50.0,35000.0
51,,,,0.0
48,60.0,2.0,34.0,45000.0
83,,,,36000.0
28,,,40.0,6000.0
15,,,,0.0
50,20.0,1.0,50.0,55000.0
65,,,,12300.0
8,,,,
65,10.0,1.0,6.0,70500.0
42,40.0,1.0,50.0,31000.0
2,,,,
52,10.0,1.0,40.0,84000.0
49,,,,0.0
77,,,,9000.0
3,,,,
2,,,,
3,,,,
67,30.0,1.0,8.0,1600.0
51,,,,9090.0
53,,,,0.0
73,,,,18300.0
63,,,,27000.0
16,,,,0.0
65,,,,4100.0
43,45.0,1.0,40.0,20000.0
18,,,3.0,100.0
6,,,,
12,,,,
7,,,,
29,,,40.0,45000.0
68,20.0,1.0,40.0,33200.0
47,5.0,1.0,20.0,30000.0
42,10.0,1.0,4.0,31000.0
50,8.0,1.0,40.0,100000.0
12,,,,
77,,,,9000.0
61,30.0,1.0,40.0,36500.0
16,30.0,1.0,24.0,11600.0
2,,,,
8,,,,
37,2.0,1.0,45.0,56000.0
17,,,,0.0
70,,,,25880.0
87,,,,9600.0
70,,,,39500.0
55,5.0,1.0,40.0,368000.0
18,,,16.0,3000.0
19,5.0,2.0,24.0,12000.0
14,,,,
66,,,8.0,28900.0
47,,,,0.0
27,5.0,1.0,55.0,50000.0
50,20.0,2.0,20.0,11000.0
60,10.0,3.0,40.0,30000.0
33,15.0,1.0,40.0,10000.0
3,,,,
50,5.0,1.0,40.0,46500.0
35,60.0,1.0,40.0,30000.0
83,,,,15200.0
27,,,,0.0
19,,,40.0,4000.0
73,45.0,1.0,40.0,206700.0
54,8.0,1.0,24.0,54000.0
19,,,,0.0
60,20.0,1.0,50.0,87000.0
25,15.0,1.0,45.0,70200.0
82,,,,30.0
67,,,,13000.0
19,16.0,1.0,27.0,14500.0
25,15.0,1.0,25.0,17400.0
36,5.0,1.0,20.0,830.0
40,10.0,1.0,74.0,93000.0
85,,,,10200.0
16,,,,0.0
45,,,40.0,2500.0
64,,,,226000.0
74,,,,16500.0
35,,,,0.0
7,,,,
63,,,,3500.0
28,,,40.0,5000.0
14,,,,
52,3.0,1.0,30.0,14000.0
25,,,40.0,40000.0
66,10.0,1.0,33.0,21000.0
57,20.0,1.0,40.0,29300.0
59,,,40.0,84000.0
71,,,,7600.0
59,,,,8800.0
61,30.0,5.0,40.0,103500.0
57,10.0,1.0,40.0,16000.0
0,,,,
22,,,,6200.0
59,10.0,1.0,32.0,53000.0
10,,,,
18,20.0,1.0,30.0,15800.0
6,,,,
70,5.0,1.0,30.0,98100.0
36,20.0,1.0,40.0,32060.0
79,,,,7300.0
79,,,,17700.0
7,,,,
71,30.0,1.0,30.0,200000.0
33,10.0,1.0,36.0,10000.0
67,,,,40100.0
60,,,40.0,72300.0
55,15.0,1.0,30.0,19000.0
43,10.0,1.0,50.0,55000.0
69,15.0,1.0,42.0,83400.0
60,,,,54000.0
1,,,,
42,45.0,1.0,40.0,30000.0
6,,,,
48,20.0,1.0,40.0,25000.0
19,30.0,1.0,40.0,17500.0
1,,,,
33,4.0,1.0,65.0,39000.0
5,,,,
93,,,,16800.0
76,,,,25700.0
39,20.0,1.0,40.0,53000.0
43,,,,9600.0
61,154.0,1.0,40.0,48800.0
38,35.0,1.0,40.0,110000.0
9,,,,
93,,,,22500.0
37,,,,0.0
78,,,,0.0
21,10.0,1.0,60.0,52000.0
26,,,,1900.0
72,,,,23000.0
36,30.0,1.0,40.0,5000.0
72,,,2.0,58060.0
39,,,,9000.0
11,,,,
10,,,,
51,10.0,,20.0,15600.0
72,,,,22400.0
63,20.0,1.0,40.0,32000.0
12,,,,
10,,,,
62,,,,9300.0
62,,,,36000.0
38,55.0,1.0,45.0,95000.0
18,15.0,1.0,5.0,6300.0
2,,,,
57,10.0,1.0,40.0,75400.0
72,,,,15600.0
6,,,,
6,,,,
79,,,,48000.0
93,,,,35600.0
52,60.0,1.0,40.0,10000.0
62,,,,8720.0
93,,,,1700.0
15,,,,0.0
0,,,,
60,,,,0.0
57,15.0,1.0,40.0,51000.0
59,20.0,1.0,40.0,60000.0
53,,,,0.0
12,,,,
47,5.0,1.0,40.0,76000.0
41,45.0,1.0,32.0,15400.0
72,3.0,1.0,2.0,18400.0
14,,,,
46,,,20.0,10400.0
7,,,,
76,,,,53400.0
66,,,,0.0
38,35.0,2.0,50.0,20000.0
42,40.0,1.0,25.0,-500.0
64,,,,15000.0
50,35.0,1.0,19.0,24000.0
33,,,50.0,2500.0
70,,,,4700.0
1,,,,
83,,,,6700.0
17,60.0,3.0,20.0,5000.0
69,,,,8500.0
35,,,,0.0
67,,,,9300.0
35,15.0,1.0,40.0,49900.0
65,,,35.0,51000.0
56,,,4.0,4000.0
59,20.0,1.0,40.0,121000.0
63,15.0,1.0,45.0,50000.0
16,,,,0.0
12,,,,
65,30.0,1.0,31.0,21400.0
1,,,,
45,,,40.0,1700.0
43,10.0,1.0,40.0,68000.0
84,,,,36000.0
31,20.0,1.0,40.0,50000.0
52,,,,0.0
43,35.0,1.0,40.0,55000.0
23,30.0,1.0,40.0,23000.0
63,15.0,1.0,15.0,27900.0
