AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
68,,,,14400.0
5,,,,
65,30.0,1.0,40.0,65000.0
21,25.0,1.0,40.0,48900.0
56,,,,0.0
62,,,,28000.0
45,45.0,1.0,25.0,14000.0
43,20.0,1.0,40.0,61000.0
26,30.0,,50.0,30000.0
49,,,25.0,15900.0
33,45.0,1.0,40.0,83000.0
65,20.0,2.0,60.0,38400.0
29,20.0,1.0,40.0,20800.0
95,,,,45200.0
63,,,,5600.0
60,20.0,1.0,32.0,28000.0
90,,,,-1700.0
67,,,,10300.0
95,,,,0.0
64,,,,16300.0
9,,,,
57,35.0,1.0,40.0,130000.0
67,,,10.0,35050.0
15,,,,0.0
20,,,10.0,7300.0
82,,,,3700.0
14,,,,
65,,,40.0,42620.0
37,,,,0.0
57,,,50.0,75000.0
5,,,,
70,20.0,1.0,40.0,111030.0
68,,,,50600.0
27,30.0,1.0,40.0,38000.0
39,45.0,,48.0,55000.0
86,,,,9000.0
11,,,,
60,30.0,1.0,50.0,200000.0
5,,,,
15,,,,0.0
80,,,,20000.0
8,,,,
24,30.0,1.0,30.0,33100.0
18,40.0,1.0,40.0,20000.0
38,45.0,1.0,20.0,50000.0
55,10.0,,40.0,40000.0
90,,,,63500.0
84,,,,8100.0
54,,,40.0,18000.0
76,,,,55000.0
70,,,,62800.0
20,5.0,1.0,40.0,24000.0
74,,,,35800.0
1,,,,
44,40.0,1.0,40.0,60200.0
39,10.0,1.0,40.0,43000.0
70,,,,48200.0
24,10.0,1.0,40.0,27000.0
73,,,,343400.0
27,,,,0.0
34,45.0,2.0,40.0,8000.0
47,60.0,1.0,40.0,68800.0
60,60.0,1.0,60.0,96000.0
80,,,12.0,13610.0
72,,,,4600.0
46,10.0,,40.0,85000.0
20,10.0,1.0,16.0,8000.0
49,145.0,1.0,40.0,33600.0
70,,,8.0,13100.0
68,,,,36000.0
14,,,,
